l,Dl_Planck,Dl_H73_Tension,Dl_TRXT_Fixed
1646,166693837.09893656,166695337.97920683,166212241.55907112
1647,166817001.93237346,166990236.04618624,166339182.03036028
1648,166948692.70141736,167288343.88468072,166475169.59119922
1649,167088998.29966184,167589627.35024253,166620071.43944392
1650,167237364.5747958,167893407.97012818,166773560.05358088
1651,167393880.37602466,168199675.2079321,166935606.5917254
1652,167558636.20897555,168508524.0410949,167106189.17379385
1653,167730754.02975634,168819106.516303,167284703.8462214
1654,167910970.2187097,169132188.5551635,167471370.882443
1655,168098405.1373742,169446919.5053812,167665913.9139685
1656,168292824.19377893,169763093.200589,167868002.04448822
1657,168494641.72756127,170081151.84031773,168077575.5895582
1658,168703298.9292215,170400563.90441668,168294344.94291174
1659,168918885.8680962,170721446.1765021,168517977.20366773
1660,169140841.47035065,171043263.71773225,168748653.9077992
1661,169369255.0561784,171366131.40009153,168985904.7907731
1662,169603563.18049523,171689510.74346897,169229331.67462903
1663,169844181.46951276,172013841.748912,169479084.57092217
1664,170090545.1839189,172338583.45877978,169734736.65599462
1665,170342415.0756902,172663519.81081697,169996104.88303083
1666,170599550.99158075,172988433.2391907,170262935.2250084
1667,170862040.5828395,173313433.38203862,170534888.3512766
1668,171129642.9975688,173638300.7719391,170811842.23069543
1669,171401786.88666263,173962484.84023848,171093555.65956146
1670,171678558.1591519,174286091.67106232,171379894.96409693
1671,171959712.97024563,174608896.98829618,171670423.91839412
1672,172245006.43246588,174930674.86593375,171964880.09223214
1673,172534192.5932868,175251197.70520115,172263038.6602768
1674,172827355.9122838,175570567.71146277,172564552.06518948
1675,173123917.53276134,175888223.16587758,172869254.94916323
1676,173423960.46599793,176204263.6099451,173176755.9835792
1677,173727235.46694636,176518455.72177818,173486747.91885027
1678,174033825.20040643,176830897.48312378,173799275.5429093
1679,174342812.27508262,177140686.21454343,174113954.82107496
1680,174654276.54022503,177447915.87345523,174430742.7141841
1681,174968632.46617782,177753014.43636355,174749626.62066215
1682,175284623.0646712,178054737.82111531,175070064.79641974
1683,175602660.64510596,178353510.64543566,175392140.51780564
1684,175922488.44307312,178649087.85798854,175715874.976763
1685,176243848.35377127,178941222.4746283,176041010.3250806
1686,176566480.9062115,179229665.55573788,176367405.76787436
1687,176890125.23677462,179514166.18322057,176694779.53139004
1688,177214856.12780723,179794808.5028379,177023009.5921505
1689,177540411.04641306,180071338.76705408,177351902.37636158
1690,177866188.12019348,180343163.31514552,177681569.74198386
1691,178192258.9022789,180610361.3429222,178011580.6592056
1692,178518695.0103231,180873011.54673713,178341722.19704542
1693,178844550.90310624,181130174.9054351,178671871.42229605
1694,179170573.56668168,181382604.37217855,179002049.95690227
1695,179495473.96781316,181629016.33390415,179331960.63022235
1696,179819998.20442078,181870161.7681292,179661212.58039996
1697,180143532.81664786,182105431.5607264,179989839.74812436
1698,180465461.0092757,182334212.7353959,180317621.23837754
1699,180786187.02901292,182556912.83836415,180644334.5554652
1700,181105432.78662163,182773256.56827527,180969810.01483
1701,181422918.4024592,182982982.42586264,181294049.92352796
1702,181738362.31322983,183185891.2686077,181616588.8854898
1703,182051824.17183474,183382141.19666,181937486.39859203
1704,182363019.80755603,183571546.46469483,182256545.81271562
1705,182672006.94792026,183754263.21400073,182573780.6503024
